bidder_id,price_max,price_mean,price_median,price_min,price_std
001068c415025a009fee375a12cff4fcnht8y,7.44282105263e+13,7.44282105263e+13,7.44282105263e+13,7.44282105263e+13,0.0
0030a2dd87ad2733e0873062e4f83954mkj86,7.26371052632e+13,7.26371052632e+13,7.26371052632e+13,7.26371052632e+13,0.0
00a0517965f18610417ee784a05f494d4dw6e,7.71984210526e+13,6.3818920866e+13,7.16117368421e+13,3.82789473684e+11,2.17499165528e+13
00cc97158e6f4cb8eac3c0075918b7ffi5k8o,6.41930526316e+13,2.75657368421e+13,9.27910526316e+12,9.22505263158e+12,2.58994327721e+13
01067975436d123f717ee5aba0dd4bbfa0937,1.40924052632e+14,1.33493509741e+14,1.33177736842e+14,1.27334578947e+14,3.61321410251e+12
012441119bcf83b23d4768bb72cea6d6carua,1.40233631579e+14,1.34010549199e+14,1.32569842105e+14,1.27864473684e+14,3.50006355806e+12
01255c2c7c5578c186873422fc00fd7afwk8k,1.40634947368e+14,1.34069998381e+14,1.34070947368e+14,1.27355842105e+14,3.85073466978e+12
01349288df20199905e719f0ff7ee771nwryj,1.40536473684e+14,1.32657056391e+14,1.32157105263e+14,1.27358e+14,3.07580685628e+12
0141844fc725a85e38e12cc02fcdbbe8ofqxv,1.40685947368e+14,1.33331359649e+14,1.32171736842e+14,1.28403263158e+14,3.19909484699e+12
0181b91f58e6cbaa832235e2879c9c00ovrzi,1.40079210526e+14,1.35036621053e+14,1.35155526316e+14,1.27487210526e+14,3.48081916968e+12
01a39439e7afbdcfe385eedbddb23d76zgdrg,7.72962631579e+13,4.30184647773e+13,6.58197631579e+13,44526315789.0,3.2105196194e+13
01c1c7be49cd6cfbb9075925a05c9899p41va,1.38827263158e+14,1.37588394737e+14,1.37588394737e+14,1.36349526316e+14,1.23886842105e+12
01c5692d487454cdbe731df330bef608f48zz,7.28384210526e+13,3.39691585366e+13,9.15994736842e+12,23263157894.0,3.19387160033e+13
01cda526658455000913950f20cf31a2q6nsf,1.40818210526e+14,1.34553805764e+14,1.34923157895e+14,1.27335947368e+14,3.83265687561e+12
01eb9dcbd0b3e79d94020d13d83a993ec9d2a,1.35728368421e+14,1.32817192982e+14,1.32707473684e+14,1.30015736842e+14,2.33346218204e+12
01f498a0992d280de63ec346692efb2blckg2,7.72863684211e+13,7.72863684211e+13,7.72863684211e+13,7.72863684211e+13,0.0
02030ec48b7179a7fd9950fdf546e3feekkye,1.40401526316e+14,1.39675315789e+14,1.40352578947e+14,1.37013947368e+14,1.33249474686e+12
022ac3a7ce986049d9a4bede83ccf9ddctvg6,7.69638947368e+13,7.04101852221e+13,7.0521e+13,6.52091578947e+13,3.09026611897e+12
024937af9ea18a2b57e4f08762d181f7s8a3z,2.65421052631e+11,2.65421052631e+11,2.65421052631e+11,2.65421052631e+11,0.0
024cf43497fd7381df6254888670f84bwbbam,1.31871526316e+14,1.31669614035e+14,1.31668157895e+14,1.31469157895e+14,1.64269446994e+11
026819504b59bc4eefb9963d5fe4271aql15u,7.44655263158e+13,5.588125e+13,6.95232894737e+13,1.00128947368e+13,2.66534927136e+13
02cfc97e8fded77671e71e1951723d5fwz6a4,1.38026684211e+14,1.33473394737e+14,1.33473394737e+14,1.28920105263e+14,4.55328947368e+12
0318e0a173f7c65db40116b903884c854x258,7.72941578947e+13,2.33384416058e+13,9.23363157895e+12,1421052631.0,2.78408748704e+13
031da7aea2d4b75ac8ecba4825bc1318yki1d,1.35565368421e+14,1.32157625731e+14,1.30964947368e+14,1.30108421053e+14,1.99940037417e+12
03244a553a252dcc3a3037f0371c8d33fmpd1,8.31526315789e+11,4.3145614035e+11,2.76315789473e+11,1.86526315789e+11,2.8525736491e+11
0353aa9e97bd46119c90b8892f99982esfem3,7.72114210526e+13,5.26887338173e+13,7.06257894737e+13,45894736842.0,2.97208594217e+13
036a4050a5dd65e70f0f613ec2e38a74re026,4.12515789474e+12,3.77855263158e+12,3.77855263158e+12,3.43194736842e+12,3.46605263158e+11
037d9f10da403d8d5f94b6e2957a3702f6x07,1.40968368421e+14,1.3414807507e+14,1.34257263158e+14,1.27326789474e+14,4.09543670305e+12
0381a69b7a061e9ace2798fd48f1f537mgq57,4.83757894737e+12,4.83757894737e+12,4.83757894737e+12,4.83757894737e+12,0.0
03a1e81cb7bcd15014489a6f752c9d5b7pvel,1.15922631579e+13,8.99572807018e+12,1.11834210526e+13,3.263e+12,3.28532237376e+12
03aafab9868455b78f0723eda86698ba9v9rm,7.73052105263e+13,5.79600254904e+13,6.90587368421e+13,2421052631.0,2.62567116798e+13
03e884d3e7e3356608187d2345e4693fyt29x,1.40496894737e+14,1.34248671053e+14,1.35553973684e+14,1.27374578947e+14,4.78551190048e+12
041d869edcadf595b90e3b5248903183pn754,7.72611578947e+13,5.39053692691e+13,6.75148947368e+13,19526315789.0,2.78581163389e+13
042780ee9a3730703e35340c575c3cbb7zjwk,1.33825052632e+14,1.30226197368e+14,1.29356368421e+14,1.28367e+14,2.1166942895e+12
0446457fc8e21596799158406f77b14catx8w,7.31964736842e+13,7.31964736842e+13,7.31964736842e+13,7.31964736842e+13,0.0
04636b6c61c80f5325efe61183e8edb01ko20,6.84703684211e+13,4.01366184211e+13,4.01306842105e+13,1.18147368421e+13,2.83132017641e+13
047558bebab9292a5d4c85d6ee768784j2hdd,7.73047368421e+13,4.5743386693e+13,6.63400526316e+13,1736842105.0,3.1141419313e+13
0496c24a6a7f593f28bf7896350e946advl6i,1.40906631579e+14,1.35779845201e+14,1.37022210526e+14,1.27892473684e+14,4.68595795456e+12
04c6b750b0552089c87ae03de72289cfcpfmh,1.40130157895e+14,1.31039556391e+14,1.31264394737e+14,1.27373631579e+14,3.23098673113e+12
050a3b29ca1818e1f237df8132bc2013bcuxi,1.40096842105e+14,1.34774961842e+14,1.35635578947e+14,1.27467e+14,3.48627314407e+12
053cefb7e952bd81d7a6db267a121747te7lo,1.33834631579e+14,1.33834631579e+14,1.33834631579e+14,1.33834631579e+14,0.0
0547dbd3ecb4a293913f138d60b586fdf4ane,1.40909105263e+14,1.33024063015e+14,1.32631052632e+14,1.27327052632e+14,4.13616853689e+12
