bidder_id,ip_entropy,url_entropy
001068c415025a009fee375a12cff4fcnht8y,0.0,0.0
002d229ffb247009810828f648afc2ef593rb,0.0,0.0
0030a2dd87ad2733e0873062e4f83954mkj86,0.0,0.0
003180b29c6a5f8f1d84a6b7b6f7be57tjj1o,0.69314718056,0.69314718056
00486a11dff552c4bd7696265724ff81yeo9v,34.5523924444,23.5423244336
0051aef3fdeacdadba664b9b3b07e04e4coc6,108.281261774,38.8239339578
0053b78cde37c4384a20d2da9aa4272aym4pb,55626.9544268,56950.5372773
0061edfc5b07ff3d70d693883a38d370oy4fs,450.472686989,303.746275635
00862324eb508ca5202b6d4e5f1a80fc3t3lp,0.0,0.0
009479273c288b1dd096dc3087653499lrx3c,0.0,0.0
009cee781e8414f7fb55b2f92157e9dbu0y6o,3.17805383035,2.48490664979
00a0517965f18610417ee784a05f494d4dw6e,545.686132656,498.175258921
00a79ebd15f0b24a0a3b5794457cd8ed7dng1,804.627128443,0.0
00b519ec8ed5e370328451379bb708a306eoj,6211.3710659,3237.6555026
00cc97158e6f4cb8eac3c0075918b7ffi5k8o,0.69314718056,0.0
00ceb1b66fc6c08f2e1b7937b5bc7f870qn5k,266.113043821,202.722372234
00dd948c3a88f7b68f1952dbeeac68ffb6qoc,0.0,0.0
00e0f614d9dd32dd27f6080f472d2934emlos,11617.8827955,10653.9727946
01067975436d123f717ee5aba0dd4bbfa0937,2761.66295245,67.0495396459
010e5ed5eb439e0daf1870a0b426e32cztbdt,112.64791742,39.3759754326
0113d101ec6aabd354adac645a1ec3e82ln88,1149.98737439,1140.59419965
012441119bcf83b23d4768bb72cea6d6carua,47.0848869907,17.3938561376
01255c2c7c5578c186873422fc00fd7afwk8k,203.781905122,130.006057953
01349288df20199905e719f0ff7ee771nwryj,218.735828374,139.135949603
0141844fc725a85e38e12cc02fcdbbe8ofqxv,33.5050734501,11.2152738615
0165dcd38f54e83aafb7bb3d95cd9369800km,2.99573227355,1.60943791243
016e3c511caf01a845c9c976bbf355a6m1nns,0.0,0.0
0176025cc599cb59f825d592b8ef3ee3p5aqv,0.0,0.0
0181b91f58e6cbaa832235e2879c9c00ovrzi,25.1912211827,18.6119699707
018c9ecc065880c95e21c0291a3b478dj1c0a,0.0,0.0
0196137a75792cfa9e1ffae0c968f8e5h5eqq,236.89894802,182.807365803
019cf2d366df756c092c91e26f406acdozha7,798.539714657,238.988206853
01a2f136b87e5c544e2f2c59295bea7ebwv8y,47.0848869907,28.4839668562
01a39439e7afbdcfe385eedbddb23d76zgdrg,1172.77254289,532.932345944
01c1c7be49cd6cfbb9075925a05c9899p41va,0.0,0.0
01c5692d487454cdbe731df330bef608f48zz,219.006177923,145.07243879
01c729a32b5f51f088884b558cd2cfd1xz1qe,0.0,0.0
