,auctions_won_cnt,price_max,price_mean,price_median,price_min,price_std,tdiff_max,tdiff_mean,tdiff_median,tdiff_min,tdiff_std,tdiff_zeros,response_max,response_mean,response_median,response_min,response_std,auction_cnt,bids_cnt,country_cnt,device_cnt,ip_cnt,mean_bids_per_auction,url_cnt,tdiff_ip,ip_entropy,url_entropy,bidder_id,country_cnt_mean_auc
0,0.0,-2101.76267878,-2101.76267878,-2101.76267878,-2101.76267878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000844907462552,0.000844907462552,0.000844907462552,0.000844907462552,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,001068c415025a009fee375a12cff4fcnht8y,1.0
1,0.0,-2088.48045569,-2088.48046727,-2088.48046727,-2088.48047884,1.15740748415e-05,2.31481496831e-05,2.31481496831e-05,2.31481496831e-05,2.31481496831e-05,0.0,0.0,2.31481496831e-05,1.73611122623e-05,1.73611122623e-05,1.15740748415e-05,5.78703742077e-06,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,002d229ffb247009810828f648afc2ef593rb,1.0
2,0.0,-2102.15655612,-2102.15655612,-2102.15655612,-2102.15655612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000162037047781,0.000162037047781,0.000162037047781,0.000162037047781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0030a2dd87ad2733e0873062e4f83954mkj86,1.0
3,0.0,-2101.84420657,-2107.07250166,-2103.02494738,-2116.34835103,6.5767050204,13.3234036479,7.25207223289,7.25207223289,1.18074081785,6.07133141503,0.0,0.000833333387711,0.000389660519299,0.000219907421769,0.000115740748415,0.000316593203321,3.0,3.0,1.0,3.0,3.0,1.0,2.0,7.25207223289,0.69314718056,0.69314718056,003180b29c6a5f8f1d84a6b7b6f7be57tjj1o,1.0
4,0.0,-2101.18183384,-2113.22409562,-2115.96498874,-2117.97173077,5.91281777329,11.2024660094,0.883678785781,0.20181714281,8.10185238907e-05,2.46946838387,0.0,0.00214120384348,0.000597222261218,0.000266203721135,0.0,0.000670891125216,13.0,20.0,1.0,8.0,10.0,1.53846153846,7.0,0.314016224211,34.5523924444,23.5423244336,00486a11dff552c4bd7696265724ff81yeo9v,1.0
5,0.0,-2087.71465703,-2089.76504201,-2089.75645694,-2090.12378913,0.465188733798,0.833969961872,0.0359571955489,0.0006018518911,1.15740746216e-05,0.125952262196,0.0,0.0144328713131,0.00104864522099,8.68055612015e-05,0.0,0.00260050075119,5.0,68.0,4.0,6.0,10.0,13.6,3.0,0.0340914374118,108.281261774,38.8239339578,0051aef3fdeacdadba664b9b3b07e04e4coc6,1.2
6,6.0,-2101.13066485,-2110.30379578,-2115.86144128,-2118.125203,7.12427701017,11.0014243296,0.00155371531788,8.10185238907e-05,0.0,0.105207559107,728.0,11.7630794719,0.00460718035474,0.000208333346928,0.0,0.188462555304,408.0,10939.0,74.0,518.0,1951.0,26.8112745098,1937.0,9.25925985123e-05,55626.9544268,56950.5372773,0053b78cde37c4384a20d2da9aa4272aym4pb,1.91176470588
7,0.0,-2087.1342982,-2088.78067001,-2089.01648582,-2090.12436784,0.903901635738,0.244537053007,0.0224817266145,0.0109606488642,3.47222245246e-05,0.0356547314502,0.0,0.268912054599,0.00892395718866,0.00146990750345,0.0,0.026293036556,38.0,134.0,4.0,45.0,53.0,3.52631578947,34.0,0.0142245379659,450.472686989,303.746275635,0061edfc5b07ff3d70d693883a38d370oy4fs,1.02631578947
8,0.0,-2117.11283025,-2117.11313581,-2117.1131196,-2117.11350155,0.000227111544221,0.000266203721135,0.000167824085037,0.000144675935299,0.000115740748415,5.9299487483e-05,0.0,0.000115740748195,3.93518543732e-05,2.31481496831e-05,0.0,4.11490508678e-05,1.0,5.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,00862324eb508ca5202b6d4e5f1a80fc3t3lp,1.0
9,0.0,-2117.60957797,-2117.60957797,-2117.60957797,-2117.60957797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62962993661e-05,4.62962993661e-05,4.62962993661e-05,4.62962993661e-05,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,009479273c288b1dd096dc3087653499lrx3c,1.0
10,0.0,-2103.54466964,-2113.85309161,-2116.22627927,-2117.68392982,5.2154366587,11.6500007608,3.53481504568,1.04981488338,0.389629655075,4.69306788956,0.0,0.00118055563274,0.000261574091199,3.47222245246e-05,1.15740748415e-05,0.000459629230652,2.0,5.0,3.0,4.0,5.0,2.5,3.0,1.04981488338,3.17805383035,2.48490664979,009cee781e8414f7fb55b2f92157e9dbu0y6o,1.5
